figure_id,chapter,title,book_page,claim_summary,original_dataset,dataset_url,archive_url,download_date,confidence_score,book_citation,reproduction_status,execution_status,publication_status,visual_validation,notes
16-1,16,"Literacy, 1475-2010",Supplemental Graphics PDF p30 upper,Long-run spread of basic literacy; heterogeneous historical measures.,"OWID LiteracyRatesGlobalLongRun.csv, archived March 25 2016",http://ourworldindata.org/roser/graphs/LiteracyRatesGlobalLongRun/LiteracyRatesGlobalLongRun.csv,https://web.archive.org/web/20160325002542id_/http://ourworldindata.org/roser/graphs/LiteracyRatesGlobalLongRun/LiteracyRatesGlobalLongRun.csv,2026-09-10 UTC,High original reconstruction; medium cross-era comparability,"Our World in Data, Roser & Ortiz-Ospina 2016b, including data from the following. Before 1800: Buringh & Van Zanden 2009. World: van Zanden et al. 2014. US: National Center for Education Statistics. After 2000: Central Intelligence Agency 2016.",verified_reproduction,processed,incomplete,inspected,"Actual 2016 archived OWID CSV recovers all eight book series; NCES cross-check exact. Separate revised successor to 2024, no forced join."
16-2,16,"Basic education, 1820-2010",Supplemental Graphics PDF p30 lower,Spread of some basic schooling among adults; historical regional estimates.,OWID SchoolAttended_byWorldRegion_Since1870 CSV archived2015; OECD2014 Table5.3 and Figure5.1 XLS,https://doi.org/10.1787/888933095742,https://web.archive.org/web/20150921004145id_/http://www.ourworldindata.org/roser/graphs/SchoolAttended_byWorldRegion_Since1870/SchoolAttended_byWorldRegion_Since1870.csv,2026-09-10 UTC,High original source identification; medium overall visual/extension fidelity,"Our World in Data, Roser & Nagdy 2016c, based on data from van Zanden et al. 2014. The graphs indicate the share of the population aged 15 or older that had completed at least a year of education (more in later eras); see van Leeuwen & van Leewen-Li 2014, pp. 88-93.",partial_match,processed,incomplete,inspected,"Original archived OWID/OECD data recovered. Nine curves, 133-point cross-check; original XLS year-label defect documented. No observed extension accepted."
16-3,16,"Years of schooling, 1870-2010",Supplemental Graphics PDF p31 upper,"Rising average years of schooling across seven countries, with heterogeneous historical estimates.","LeeLee_attain_MF1564.xls archived2017, v1.0Jan2016; OWID August2016 retrieval",https://barrolee.github.io/BarroLeeDataSet/DataLeeLee.html,https://web.archive.org/web/20170713032259id_/http://barrolee.com/data/Lee_Lee_v1.0/LeeLee_attain_MF1564.xls,2026-09-10 UTC,High book/source match; medium successor estimation confidence,"Our World in Data, Roser & Ortiz-Ospina 2016a, based on data from Lee & Lee 2016. Data are for the population aged 15-64.",verified_reproduction,processed,incomplete,inspected,203 observations exactly match archived original author workbook. Seven curves reconstructed; author v3 updated2015 estimates distinguished from OWID projections.
16-4,16,"Female literacy, 1750-2014",Supplemental Graphics PDF p31 lower,Female/male literacy parity increased in recovered youth country series; full four-curve claim not reconstructed.,"WDI November 2016 archive, SE.ADT.1524.LT.FM.ZS; Clark/Schofield and HumanProgress World unresolved",https://api.worldbank.org/v2/indicator/SE.ADT.1524.LT.FM.ZS?format=json,https://web.archive.org/web/20161119172134id_/http://databank.worldbank.org/data/download/WDI_csv.zip,2026-09-10 UTC,Medium partial; low full-figure completeness,"England (all adults): Clark 2007, p.179. World, Pakistan, Afghanistan (ages 15-24): HumanProgress dataset 2101, UNESCO UIS via World Bank 2016f; changing sets of countries for World.",partial_match,processed,incomplete,inspected,Two country curves recovered from WDI 2016. England and World missing. Revised successor separate; publication incomplete.
16-5,16,"IQ gains, 1909-2013",Supplemental Graphics PDF p32 upper,Within-sample/test gains over time; not comparable regional IQ levels.,"Pietschnig/Voracek2015 regional trajectories via OWID July21,2015 extraction",https://doi.org/10.1177/1745691615577701,https://web.archive.org/web/20160424225937id_/http://ourworldindata.org/intelligence/,2026-09-10 UTC,Medium source; strong visual agreement; partial original-supplement audit,"Pietschnig & Voracek 2015, supplemental online material. Different tests and start dates prohibit comparison between trajectories.",partial_match,processed,incomplete,inspected,Six curves from 36 original-provider observations. Close visual agreement; original supplement weighting not independently verified. No comparable extension.
16-6,16,"Global well-being, 1820-2015",Supplemental Graphics PDF p32 lower,Two differently scaled composite measures rise over long-run history; no common unit or causal claim.,Rijpma2014 equal-weight composite World19decades; Prados2015 Table1 World14benchmarks,https://doi.org/10.1787/888933096502 ; https://doi.org/10.1111/roiw.12104,https://web.archive.org/web/20170128054240id_/https://ourworldindata.org/human-development-index/,2026-09-10 UTC,High original tables; medium partial visual; missing2015 update,"Historical Index of Human Development: Prados de la Escosura 2015, 0-1 scale, available at Our World in Data, Roser 2016h. Well-Being Composite: Rijpma 2014, p. 259, standard deviation scale over country-decades.",partial_match,processed,incomplete,inspected,Both indices reconstructed from original numerical tables. HIHD ends2007; missing2015 update and annual detail explicitly documented. No comparable extension.
17-1,17,"Work hours, Western Europe and US, 1870-2000","Supplemental Graphics PDF p33, upper panel",Weekly work hours fell for full-time nonagricultural production workers in Western Europe and the US.,"Huberman & Minns (2007), Table 1; OWID retained datasets 234 and days/hours export",https://ourworldindata.org/grapher/work-hours-per-week,https://web.archive.org/web/20160815131241id_/https://ourworldindata.org/grapher/work-hours-per-week?country=BEL+FRA+ITA+CHE+USA,2026-09-09,High for source values; medium for book assembly/visual fidelity,"Roser 2016t, based on data from Huberman & Minns 2007 on full-time production workers (both sexes) in nonagricultural activities.",partial_match,processed,incomplete,inspected,"Original paper and OWID numeric data recovered. Shapes closely agree, but published book appears lower by roughly one hour. Values are not shifted to force a match. No comparable post-2000 extension."
17-2,17,"Retirement, US, 1880-2010","Supplemental Graphics PDF p33, lower panel",A smaller share of older men participate in the labor force than in the late nineteenth century.,Costa 1998 Table 2A.1; Short 2002 Table 1; BLS 2010 Table 3,https://www.nber.org/system/files/chapters/c6108/c6108.pdf,https://www.bls.gov/cps/aa2010/cpsaat3.pdf,2026-09-09,"Medium overall; high numeric source fidelity except exact 2000 release, medium visual fidelity","Housel 2013, based on data from the Bureau of Labor Statistics, and Costa 1998.",partial_match,processed,incomplete,inspected,Original Costa table and BLS 2010 endpoint recovered; BLS continuation to 2024. Small book-level differences remain. No plotted values digitized or shifted.
17-3,17,"Utilities, appliances, and housework, US, 1900-2015",Supplemental Graphics PDF p34 upper panel,Utility/appliance diffusion alongside declining housework; historical housework estimates and splice remain disputed/incomplete.,Greenwood et al. Engines.xls; Census Siebens 2013 Table 3; two original housework prose anchors,https://hdl.handle.net/1802/206,https://web.archive.org/web/20160424230158/http://ourworldindata.org/working-hours/,2026-09-09,High appliance provenance; low complete housework identification; medium partial reconstruction,"Greenwood, Seshadri & Yorukoglu 2005; Siebens 2013; Roser 2016t; BLS 2016b.",partial_match,processed,incomplete,inspected,Eight appliance/utility curves recovered. Housework limited to two published numeric anchors. Stove definition break separated; no comparable extension claimed.
17-4,17,"Cost of light, England, 1300-2006","Supplemental Graphics PDF p34, lower panel",The real price of lighting fell dramatically across seven centuries.,"Fouquet & Pearson (2012), OWID dataset 187 / indicator 250",https://api.ourworldindata.org/v1/indicators/250.data.json,https://web.archive.org/web/20160815131249id_/https://ourworldindata.org/grapher/the-price-for-lighting-per-million-lumen-hours-in-the-uk-in-british-pound-1300-2006,2026-09-09,High book-period source and visual match; medium successor continuity,"Our World in Data, Roser 2016o, based on data from Fouquet & Pearson 2012. Cost of one million lumen-hours, in pounds sterling (inflation-adjusted to the year 2000).",verified_reproduction,processed,not_reviewed,inspected,"Original source dataset 187 / indicator 250 recovered with 706 observations; 2016 archived page confirms source identity. Revised 2026 series shown separately through 2023, with overlap and recent-year inset."
17-5,17,"Spending on necessities, US, 1929-2016","Supplemental Graphics PDF p35, upper panel",A defined necessities basket takes a smaller share of aggregate US disposable income than in 1929.,HumanProgress 1937 September 2016; BEA NIPA July/August 2016 releases,https://fred.stlouisfed.org/release/tables?rid=53&eid=44183#snid=44219,https://web.archive.org/web/20170117185627id_/http://humanprogress.org/static/1937,2026-09-09,Medium overall; high baseline/source fidelity; exact author basket unresolved,"HumanProgress dataset 1937, adapted from Mark Perry, using Bureau of Economic Analysis data.",partial_match,processed,incomplete,inspected,2016 BEA components exactly cross-check archived HP baseline; broad energy added as explicit inference. Revised continuation to 2025; no plotted-value digitization.
17-6,17,"Leisure time, US, 1965-2015","Supplemental Graphics PDF p35, lower panel","Historical leisure estimates rise for both sexes, but the appended BLS endpoint changes population and methodology.",Aguiar/Hurst original cells.dta; Table III; BLS ATUS 2015 Table 1/A-1,https://www.markaguiar.com/,https://www.bls.gov/news.release/archives/atus_06242016.htm,2026-09-09,Medium overall; high original numeric provenance; exact author assembly unresolved,"1965-2003: Aguiar & Hurst 2007, Table III, Leisure Measure 1. 2015: BLS 2016c ATUS, leisure/sports + lawn/garden + volunteering.",partial_match,processed,incomplete,inspected,Original author analysis cells reproduce published Table III. BLS 2015 and continuation through 2025 recovered. Population/definition break disclosed; no annual 2020 data or pixel digitization.
17-7,17,"Cost of air travel, US, 1979-2015","Supplemental Graphics PDF p36, upper panel",Inflation-adjusted domestic air travel cost per mile fell over 1979-2015.,"A4A annual domestic round-trip fares, fees and distance; exact book-era workbook not recovered",https://www.airlines.org/dataset/annual-round-trip-fares-and-fees-domestic/,https://web.archive.org/web/20170401223135id_/http://airlines.org:80/dataset/annual-round-trip-fares-and-fees-domestic/,2026-09-09,High for citation chain; no numeric reconstruction confidence,"Thompson 2013, updated with data from Airlines for America, http://airlines.org/dataset/annual-round-trip-fares-and-fees-domestic/. Domestic travel, excluding checked baggage fees.",needs_targeted_source_recovery,blocked,incomplete,pending,"Original PDF inspected; Thompson 2013 and A4A citation resolved. Archived pages recovered, but embedded numeric data not recovered. BTS successor has methodological revisions and has not been substituted."
17-8,17,"International tourism, 1995-2015","Supplemental Graphics PDF p36, lower panel","International tourist arrivals rose substantially in 1995-2015, with temporary downturns.","World Bank WDI ST.INT.ARVL, WLD; November 2016 archive through 2014, explicitly later 2015 endpoint",https://data.worldbank.org/indicator/ST.INT.ARVL,https://web.archive.org/web/20161119172134id_/http://databank.worldbank.org/data/download/WDI_csv.zip,2026-09-09,"medium; high for recovered table values, unresolved exact 2015 vintage","World Bank 2016e, based on data from the World Tourism Organization, Yearbook of Tourism Statistics.",partial_match,processed,incomplete,inspected,"2016 WDI history recovered for 1995-2014. Missing 2015 endpoint explicitly substituted from revised 2017 WDI. Dashed UN Tourism successor segments extend to provisional 2025. Actual PDF comparison, not a facsimile."
18-1,18,"Life satisfaction and income, 2006",,,,,,,,,not_started,not_started,incomplete,pending,Imported from Kindle List of Figures extraction (List of Figures screen 2); figure page/source not checked.
18-2,18,"Loneliness, US students, 1978-2011",,,,,,,,,not_started,not_started,incomplete,pending,Imported from Kindle List of Figures extraction (List of Figures screen 2); figure page/source not checked.
18-3,18,"Suicide, England, Switzerland, and US, 1860-2014",,,,,,,,,not_started,not_started,incomplete,pending,Imported from Kindle List of Figures extraction (List of Figures screen 2); figure page/source not checked.
18-4,18,"Happiness and excitement, US, 1972-2016",,,,,,,,,not_started,not_started,incomplete,pending,Imported from Kindle List of Figures extraction (List of Figures screen 2); figure page/source not checked.
19-1,19,"Nuclear weapons, 1945-2015",Kindle page 318 search result,"Global, U.S., and Russian/Soviet nuclear arsenals declined after Cold War peaks.",,,,2026-07-10,0.82,"HumanProgress static 2927, based on Federation of Atomic Scientists, Kristensen & Norris 2016a, updated in Kristensen 2016.",partial_match,blocked,not_reviewed,pending,"Archived HumanProgress static 2927 was recovered with 138 non-generated United States and USSR/Russia observations, all preserved exactly. The stacked-area reconstruction uses current same-institution FAS-derived successor values only for the six thin minor-country layers. No post-2015 extension is plotted. Status remains partial_match because the exact 2016 minor-country vintage is unresolved."
20-1,20,"Populist support across generations, 2016",,,,,,,,,not_started,not_started,incomplete,pending,Imported from Kindle List of Figures extraction (List of Figures screen 2); figure page/source not checked.
